n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
239;236;5;518;129;126;69;44;57;28;170;56;188;20;70
240;233;5;583;124;128;71;45;54;29;169;53;197;20;72
241;291;5;551;128;128;69;48;55;28;166;52;194;20;71
242;1972;5;712;135;143;80;46;65;30;192;57;213;22;75
243;1992;5;502;127;131;65;43;54;28;179;53;187;20;70
244;361;3;432;120;120;62;43;49;27;157;50;178;19;68
245;1902;5;668;132;139;77;52;51;29;173;57;214;21;74
246;8;3;542;130;132;66;47;52;28;167;53;188;20;70
247;28;3;451;121;131;64;40;50;26;154;51;179;19;68
248;1980;5;543;127;133;72;43;57;27;175;51;200;20;71
249;2016;5;578;128;129;71;42;55;27;167;53;196;20;72
250;1951;5;537;131;134;72;39;55;27;171;55;195;20;71
251;1983;5;520;124;131;69;55;54;26;169;53;189;20;70
252;326;3;402;122;123;65;38;49;26;150;49;189;19;68
253;1915;5;554;128;131;72;45;54;27;166;54;189;20;71
254;1991;5;511;132;135;69;48;55;27;160;54;209;20;71
255;2003;5;546;132;139;73;42;60;27;176;56;203;20;72
256;1920;5;626;132;135;81;49;60;28;182;57;210;21;74
257;2014;5;578;134;135;75;48;58;27;175;54;204;20;72
258;412;5;415;120;121;65;38;50;26;155;51;180;19;69
259;369;3;474;122;123;65;44;51;26;165;53;185;19;69
260;1944;5;553;130;131;75;45;56;27;176;54;200;20;71
261;202;5;460;126;130;67;39;62;26;171;53;190;19;68
262;1957;5;576;125;134;71;42;54;27;169;53;192;20;73
263;320;3;519;120;124;66;46;54;27;172;56;196;20;72
264;1974;5;595;127;137;69;49;55;28;165;55;197;21;73
265;310;3;407;121;125;60;38;49;26;153;49;178;19;68
266;12;3;382;122;126;65;34;47;25;162;48;172;19;67
267;2012;5;546;129;136;72;37;56;26;174;55;195;20;72
268;327;5;413;126;127;67;45;47;26;161;50;193;19;68
269;339;3;477;125;126;65;44;53;26;158;50;185;19;69
270;212;3;499;126;133;71;39;53;27;170;52;188;19;70
271;213;5;432;121;121;65;40;50;26;162;49;180;19;68
272;1990;5;589;129;133;72;43;57;28;171;55;200;20;72
273;301;5;491;130;127;65;41;54;26;170;55;187;19;68
274;2004;5;506;131;133;70;42;56;27;170;55;195;20;70
275;393;3;453;124;127;68;44;63;26;164;52;187;19;69
276;1933;5;557;128;130;71;44;57;27;169;54;196;20;72
277;224;5;574;135;133;75;50;58;27;176;56;202;20;73
278;203;5;537;127;133;67;48;56;26;167;56;195;20;72
279;1953;5;545;127;129;71;40;58;26;176;55;189;20;71
280;251;5;514;125;131;70;44;54;27;162;53;193;20;71
281;1907;5;598;131;135;72;39;58;27;182;55;197;21;73
282;343;3;389;120;120;61;41;50;25;158;51;180;19;66
283;379;5;494;124;124;65;47;45;26;167;50;186;20;69
284;1971;5;524;127;130;70;46;56;27;168;55;202;20;71
285;2011;5;486;126;132;70;44;55;26;160;53;191;19;69
286;278;5;509;126;128;69;44;55;27;159;51;209;20;70
287;232;3;488;131;128;71;45;52;26;165;54;196;19;69
288;1936;5;534;128;134;73;37;55;27;172;55;192;20;72
289;1968;5;573;129;134;74;44;58;27;181;55;196;20;72
