n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
560;пнд-342;5;500;125;127;69;42;50;25;160;49;190;28;110
561;пнд-34338;5;500;128;130;71;43;45;21;198;51;197;21;104
562;пнд-34535;5;535;128;129;52;47;56;21;169;51;182;20;107
563;пнд-35140;5;580;128;129;51;48;55;22;170;52;190;22;106
564;пнд-35345;5;530;129;130;52;49;51;21;172;50;188;23;107
565;пнд-35346;5;536;129;131;55;50;55;22;175;51;189;21;106
566;пнд-35351;5;562;128;129;56;50;52;23;176;52;191;24;103
567;пнд-361;5;567;132;135;73;48;54;22;156;50;203;25;105
568;пнд-37353;5;587;127;128;51;47;56;20;169;50;182;21;107
569;пнд-37555;5;500;138;129;52;48;54;21;170;53;198;22;128
570;пнд-42168;5;520;129;131;67;47;65;22;177;50;185;22;110
571;пнд-42309;5;510;129;131;63;47;65;24;50;24;187;20;110
572;пнд-42793;5;545;129;132;68;46;67;23;178;52;190;22;111
573;пнд-42796;5;550;127;130;61;41;63;20;160;52;174;22;108
574;пнд-43331;3;400;129;131;60;42;64;22;175;49;184;24;109
575;пнд-43521;5;510;129;131;63;47;65;24;176;50;186;21;110
576;пнд-45014;5;573;128;130;69;46;47;21;152;47;190;24;105
577;пнд-45021;5;535;120;124;67;47;50;21;138;50;190;20;110
578;пнд-45027;5;622;126;129;67;45;55;25;150;48;200;24;100
579;пнд-45030;5;570;123;124;67;51;54;24;158;50;196;24;110
580;пнд-45037;5;500;122;127;71;47;52;23;150;52;200;21;110
581;пнд-45048;5;538;120;131;67;52;51;24;158;47;198;22;110
582;пнд-45064;3;500;124;124;68;46;50;23;140;50;205;24;110
583;пнд-45069;5;562;123;127;69;51;54;24;140;50;205;22;110
584;пнд-45071;3;470;118;122;60;38;45;21;145;45;185;24;110
585;пнд-45351;5;522;130;131;64;45;62;24;170;52;190;24;108
586;пнд-46543;5;521;128;129;62;48;61;25;171;53;188;22;106
587;пнд-51312;5;548;130;132;61;45;60;24;169;51;180;20;106
588;пнд-51314;5;568;131;129;60;44;64;23;170;50;174;21;107
589;пнд-51316;3;410;130;128;59;46;62;24;159;52;175;22;104
590;пнд-51702;5;540;127;130;60;48;59;25;158;55;190;24;108
591;пнд-51708;5;540;128;131;61;49;62;25;158;55;190;24;108
592;пнд-52102;5;500;124;137;68;50;44;25;150;50;207;24;110
593;пнд-52105;5;500;122;135;69;37;49;24;160;49;190;22;100
594;пнд-52108;5;575;129;130;61;50;60;24;161;51;189;24;109
595;пнд-53107;5;500;126;130;69;48;46;27;152;49;170;20;115
596;пнд-53109;5;540;137;135;66;42;49;26;160;48;190;23;116
597;пнд-53116;5;541;127;127;69;43;51;21;160;51;193;24;110
598;пнд-54121;5;575;112;127;59;45;50;25;151;51;197;20;119
599;пнд-54125;5;510;124;132;68;41;47;20;150;47;187;23;105
600;пнд-54127;5;575;130;137;70;44;48;26;165;49;200;22;110
601;пнд-54132;5;545;125;130;62;44;52;24;158;52;202;21;121
602;пнд-54137;5;530;120;128;65;40;49;23;155;49;185;24;100
603;пнд-72102;5;545;120;126;66;43;51;24;157;51;190;23;116
604;пнд-72103;5;585;130;135;67;43;50;29;158;51;197;23;116
605;пнд-72501;5;560;123;138;65;43;51;24;160;50;192;22;107
606;пнд-73108;5;685;137;146;77;49;52;30;166;58;210;20;121
607;пнд-73118;5;587;126;134;69;47;43;27;158;48;202;21;113
608;пнд-73303;5;525;132;129;73;56;54;28;166;55;214;19;109
609;пнд-73314;3;490;126;138;66;47;49;27;163;48;198;20;108
610;пнд-73315;5;555;135;140;83;54;48;29;152;49;208;21;136
611;пнд-73322;5;575;129;138;72;63;45;28;160;45;190;22;108
612;пнд-74125;5;531;124;138;68;49;47;26;162;49;196;21;114
613;пнд-74130;5;541;117;129;64;43;48;22;156;45;190;21;112
614;пнд-74327;5;550;128;133;69;48;53;24;157;55;197;20;114
615;пнд-74328;5;550;130;134;69;46;48;25;155;47;195;23;124
616;пнд-74330;5;630;125;136;69;48;50;29;158;50;191;21;107
617;пнд-74336;5;500;122;122;69;48;53;24;157;55;197;22;114
618;пнд-74341;5;532;127;135;73;45;51;27;158;51;213;21;128
619;пнд-74510;5;542;129;136;68;47;52;26;168;53;202;22;109
620;пнд-75512;5;530;125;138;63;48;48;24;162;48;194;20;117
621;пнд-80348;5;630;129;130;71;42;54;30;163;51;197;21;99
622;пнд-81351;5;647;130;129;75;47;57;30;161;51;198;20;105
623;пнд-81501;5;570;125;136;68;46;50;23;153;51;198;25;128
624;пнд-90549;5;595;122;126;72;45;52;24;151;52;197;20;99
625;пнд-93310;5;510;116;121;67;38;46;23;148;48;180;20;88
626;пнд-94126;5;500;126;128;72;43;53;30;164;52;195;21;98
627;пнд-94516;5;516;117;125;68;44;46;24;160;52;195;20;98
628;пнд-95139;5;600;127;137;78;50;54;29;160;48;208;20;115
629;пнд-95340;3;443;117;125;68;38;49;23;145;49;180;20;95
630;пнд-95540;3;495;128;130;72;44;48;24;159;50;183;20;108
631;пнд-96142;5;520;127;129;66;48;47;23;147;50;196;20;102
632;пнд-96144;5;621;125;132;73;46;51;24;154;52;196;20;105
633;пнд-96145;5;500;120;130;70;42;49;23;148;50;187;20;100
634;пнд-96147;5;570;132;129;72;55;53;25;166;50;200;24;111
635;пнд-98151;5;555;124;131;72;45;50;23;156;54;198;20;106
636;пнд-99153;5;570;120;128;67;47;25;147;148;49;175;20;109
637;пнд-73319;5;520;121;135;71;56;55;31;164;49;215;;115
638;пнд-33123;5;500;128;129;71;44;48;28;150;40;175;20;104
639;пнд-34342;5;500;126;134;51;46;55;20;168;50;181;20;110
640;пнд-386;5;521;126;132;66;42;47;22;160;44;182;24;100
641;пнд-86548;5;521;135;137;76;47;63;24;179;68;207;24;117
642;пнд-01101;5;515;125;128;50;47;49;19;151;52;189;22;100
643;пнд-01106;5;525;123;126;65;50;51;22;157;52;200;20;116
644;пнд-01306;5;650;127;129;12;66;52;23;154;52;190;22;115
645;пнд-02112;5;500;125;131;70;45;48;24;165;50;191;22;108
646;пнд-02512;5;520;126;134;71;47;47;23;166;51;196;22;116
647;пнд-03122;5;550;124;128;71;44;50;24;146;50;188;23;111
648;пнд-03123;5;502;126;128;71;44;46;19;157;52;180;20;111
649;пнд-03317;5;550;128;130;70;40;46;20;152;52;180;20;114
650;пнд-03322;5;500;127;130;68;40;47;21;153;52;180;20;100
651;пнд-03324;5;500;125;128;50;45;48;20;151;52;184;20;98
652;пнд-03327;5;500;127;130;70;10;48;20;152;53;180;20;100
653;пнд-03328;5;680;126;131;70;42;48;20;151;52;180;20;101
654;пнд-03332;5;500;125;128;64;58;48;25;170;48;200;22;115
655;пнд-03333;5;575;124;126;65;52;51;22;150;51;194;20;117
656;пнд-03334;5;550;121;128;64;48;49;24;156;49;192;21;114
657;пнд-03335;5;610;121;129;66;49;50;24;159;48;194;21;113
658;пнд-03526;5;537;130;137;78;50;57;28;190;50;194;21;119
659;пнд-03527;5;500;126;128;74;50;48;24;175;50;181;20;109
660;пнд-04336;5;500;125;128;68;48;50;21;168;50;184;21;110
661;пнд-04337;5;575;126;129;69;45;48;22;159;57;190;21;112
662;пнд-04345;5;520;129;130;67;55;51;21;150;52;197;20;108
663;пнд-04528;5;500;126;134;50;45;55;20;168;50;180;20;109
664;пнд-04529;3;480;125;135;50;42;55;21;167;49;179;22;109
665;пнд-04534;5;510;126;128;70;42;45;22;149;50;181;24;110
666;пнд-04535;3;498;127;135;70;44;47;20;197;48;200;22;100
667;пнд-05347;5;510;127;137;70;44;47;20;200;48;201;21;104
668;пнд-05348;5;555;128;129;69;45;48;20;197;47;190;22;102
669;пнд-05350;5;500;127;130;70;42;47;20;198;49;193;22;101
670;пнд-06354;5;570;128;130;70;42;45;21;200;50;196;22;100
671;пнд-11502;5;500;129;128;65;41;52;20;178;55;180;21;106
672;пнд-12511;5;500;127;129;61;41;52;22;176;58;182;21;109
673;пнд-13139;5;500;129;130;61;40;55;20;172;52;181;20;104
674;пнд-13142;5;500;128;131;62;41;52;22;178;54;181;22;106
675;пнд-13143;5;720;128;131;62;41;52;22;178;54;181;22;106
676;пнд-13145;5;510;128;130;60;43;54;23;176;55;183;24;107
677;пнд-13521;5;550;127;129;58;40;50;21;175;53;179;22;108
678;пнд-14147;5;510;128;132;65;41;55;27;174;55;186;22;108
679;пнд-14148;5;500;128;132;65;41;55;22;174;55;186;22;108
680;пнд-16151;5;555;127;130;62;42;54;20;175;53;183;23;109
681;пнд-11105;5;500;130;131;67;42;55;21;178;56;185;20;107
682;пнд-21178;5;500;128;130;72;45;46;22;199;51;198;21;107
683;пнд-20573;5;500;129;131;72;45;45;22;199;51;198;21;106
684;пнд-21577;5;500;129;131;70;44;45;21;199;51;198;21;106
685;пнд-21578;5;500;128;131;68;43;46;20;200;50;198;20;108
686;пнд-22183;5;503;128;129;64;45;46;20;143;51;198;20;107
687;пнд-22194;5;550;129;128;63;41;45;20;150;52;197;21;106
688;пнд-22366;5;541;127;128;65;40;43;21;142;51;197;21;104
689;пнд-22373;5;541;125;126;58;40;45;21;142;51;197;21;107
690;пнд-24152;3;495;128;128;60;46;47;23;163;54;198;21;108
691;пнд-24555;3;490;128;127;64;44;47;21;150;51;198;21;109
692;пнд-25162;3;487;128;127;64;42;46;21;152;57;199;22;110
693;пнд-26562;3;490;129;130;65;51;50;22;153;58;189;21;108
694;пнд-29570;3;480;129;130;60;42;45;21;150;53;197;21;106
695;пнд-30151;5;500;128;129;65;42;45;21;145;52;197;21;108
696;пнд-30569;5;512;129;128;65;41;46;21;181;50;197;21;106
697;пнд-31160;5;518;128;129;65;42;45;22;145;57;52;22;107
698;пнд-31360;5;510;127;128;68;46;48;22;157;53;197;21;108
699;пнд-31366;5;521;127;128;64;43;61;21;172;50;184;21;107
700;пнд-31574;5;521;129;130;66;46;63;21;174;51;190;21;110
701;пнд-31575;5;521;128;129;65;42;60;21;182;50;184;21;107
702;пнд-29171;3;478;128;129;62;43;45;20;147;51;198;21;108
703;пнд-31757;5;500;128;129;64;42;60;21;175;50;180;20;108
704;пнд-31758;5;500;129;130;65;44;61;22;175;51;182;21;109
705;пнд-31759;5;510;129;130;66;45;60;22;177;52;185;20;108
706;пнд-32114*;3;480;128;129;65;42;60;21;175;50;181;21;109
707;пнд-33119;5;500;129;128;62;42;60;21;170;51;182;21;107
708;пнд-33121;5;510;129;130;62;41;60;21;174;50;181;21;107
709;пнд-33323;5;515;127;128;60;41;61;21;175;50;181;21;109
710;пнд-33522;5;600;129;127;60;41;60;21;177;50;181;21;107
711;пнд-34132;5;552;129;130;60;42;60;21;174;50;181;21;107
712;пнд-34135;5;570;128;129;61;42;61;21;174;50;181;21;109
713;пнд-34534;5;521;129;130;61;42;60;21;174;52;181;21;107
714;пнд-35136;5;530;127;128;61;42;60;21;175;51;184;21;108
715;пнд-35138;5;511;127;128;61;42;62;22;175;51;181;21;104
716;пнд-35141;5;500;129;128;65;45;62;22;174;51;180;22;107
717;пнд-36142;5;635;129;130;61;42;58;21;178;52;181;20;109
718;пнд-36144;5;500;127;130;60;42;63;21;168;50;177;20;100
719;пнд-39356;3;490;128;130;61;41;58;20;159;51;174;20;109
720;пнд-39559;5;510;128;129;61;44;62;22;174;51;184;21;107
721;пнд-39560;5;570;127;127;59;41;62;22;171;51;173;21;107
722;пнд-41705;5;530;129;130;61;42;61;22;178;51;182;20;108
723;пнд-32046;5;650;121;126;66;37;44;23;143;49;183;20;102
724;пнд-33325;5;499;127;129;50;44;53;20;168;51;180;21;106
725;пнд-43320;5;530;129;130;64;50;55;21;177;56;186;21;109
726;пнд-42740;5;500;130;131;65;42;54;20;178;56;185;20;108
727;пнд-42308;5;500;129;128;64;51;54;20;177;55;187;20;106
728;пнд-45001;5;530;120;124;74;55;54;24;160;51;213;25;100
729;пнд-45004;5;500;123;129;66;46;43;22;150;48;193;24;110
730;пнд-45005;5;600;121;126;71;47;50;25;160;50;210;23;112
731;пнд-45010;5;500;127;135;68;47;52;25;155;52;207;23;105
732;пнд-45017;5;550;126;124;66;34;44;19;155;45;190;24;110
733;пнд-45025;5;520;122;123;68;43;50;23;145;48;195;25;112
734;пнд-45031;5;510;123;125;69;46;51;25;146;51;200;25;112
735;пнд-45044;5;630;127;135;73;45;51;22;165;51;190;24;110
736;пнд-45046;5;530;125;128;68;45;46;20;150;46;180;25;100
737;пнд-45047;5;500;133;136;69;47;53;25;154;50;206;25;118
738;пнд-45051;5;505;140;130;57;43;53;24;170;52;200;24;120
739;пнд-45052;3;450;122;130;68;43;48;22;145;48;195;25;110
740;пнд-45057;5;500;125;129;67;45;49;25;150;49;195;26;110
741;пнд-45063;5;500;126;133;66;38;47;20;142;46;183;25;105
742;пнд-45065;5;510;120;124;71;38;45;23;148;45;185;25;120
743;пнд-45070;5;595;122;133;73;43;52;28;156;19;50;25;115
744;пнд-45072;3;407;120;127;68;41;50;23;150;49;200;25;110
745;пнд-45035;5;550;126;127;69;50;53;24;148;50;200;24;110
746;пнд-45066;3;495;127;136;61;48;47;23;144;47;190;26;98
747;пнд-53113;3;450;122;125;73;41;51;25;140;48;200;24;110
748;пнд-53118;3;470;129;132;68;59;51;26;160;51;200;24;110
749;пнд-54126;5;500;124;127;66;43;49;23;160;49;185;24;108
750;пнд-54134;5;500;133;139;67;44;51;20;170;51;200;25;110
751;пнд-54136;3;480;121;120;65;40;47;22;140;47;190;24;100
752;пнд-62103;5;565;131;137;73;47;55;24;165;52;210;25;113
753;пнд-62106;5;565;118;132;69;43;45;25;161;44;190;24;110
754;пнд-62108;5;615;127;132;65;45;51;25;150;44;185;24;108
755;пнд-62111;5;597;128;132;58;47;48;24;165;52;192;24;120
756;пнд-62112;5;650;130;136;68;46;50;25;152;50;195;27;110
757;пнд-62116;5;550;128;137;68;53;46;27;165;48;206;24;106
758;пнд-62117;3;487;124;130;68;41;50;24;152;50;200;25;110
759;пнд-62118;5;500;128;136;71;43;56;23;156;50;205;23;115
760;пнд-62120;5;555;131;133;72;42;48;21;160;49;200;25;110
761;пнд-62122;5;600;132;136;68;41;48;20;162;48;194;25;108
762;пнд-62133;5;640;121;123;76;41;49;24;162;52;198;24;108
763;пнд-62134;5;510;134;137;71;43;48;25;170;49;200;25;110
764;пнд-62135;5;515;124;130;67;39;48;24;165;54;190;24;100
765;пнд-54129;5;500;129;126;62;42;45;25;145;48;190;24;110
766;пнд-62123;5;500;128;134;71;38;47;21;147;49;191;25;108
767;пнд-62138;5;500;124;129;67;53;50;24;140;48;192;25;110
768;пнд-62139;5;540;122;129;73;43;50;24;160;50;200;23;110
769;пнд-63152;5;567;125;128;63;49;49;24;164;44;190;23;100
770;пнд-63153;5;550;125;130;65;43;49;25;160;47;195;24;110
771;пнд-63155;5;521;122;131;70;42;50;22;158;48;195;25;105
772;пнд-63157;5;635;134;137;70;49;45;21;163;49;200;24;105
773;пнд-63158;5;500;124;120;66;48;49;25;165;51;200;25;110
774;пнд-63162;3;470;122;122;69;41;49;24;170;50;190;25;115
775;пнд-63163;5;550;126;124;65;44;50;25;154;55;195;24;110
776;пнд-63166;5;565;127;123;72;41;50;27;158;50;190;24;108
777;пнд-63168;5;500;124;133;65;42;50;24;154;50;168;25;112
778;пнд-63169;5;500;134;143;74;42;54;27;180;54;205;28;115
779;пнд-63170;5;575;130;136;74;43;48;24;170;50;157;25;120
780;пнд-63177;3;400;118;125;68;41;50;20;150;50;190;25;108
781;пнд-63181;3;370;119;120;67;43;47;26;153;48;190;25;110
782;пнд-63182;3;495;123;121;69;46;47;22;155;47;184;20;100
783;пнд-63183;5;565;120;125;66;47;48;21;148;48;198;25;108
784;пнд-63184;5;680;130;135;72;55;51;22;158;51;200;27;110
785;пнд-63185;5;503;120;131;72;38;45;20;150;46;183;24;110
786;пнд-63187;5;500;128;136;71;44;47;20;148;52;205;24;110
787;пнд-63161;5;750;120;129;66;41;50;24;149;50;187;25;110
788;пнд-63192;5;600;132;140;71;51;53;23;162;52;200;24;112
789;пнд-63194;5;590;138;142;71;64;50;26;168;53;210;24;110
790;пнд-63201;5;590;124;135;70;47;52;25;160;50;210;23;110
791;пнд-63202;5;500;124;134;66;48;48;20;148;44;195;24;102
792;пнд-63205;5;600;127;137;62;48;48;25;160;48;192;25;110
793;пнд-63208;3;408;132;134;75;41;53;26;155;50;200;24;110
794;пнд-63211;5;550;135;134;72;38;49;23;156;50;192;25;110
795;пнд-63213;5;500;124;132;67;47;38;19;155;48;188;24;105
796;пнд-64214;5;565;122;139;71;47;51;51;23;16;51;24;110
797;пнд-64219;5;502;125;132;72;51;46;22;150;50;197;24;110
798;пнд-64220;5;540;120;137;64;43;50;23;158;50;190;26;105
799;пнд-64221;5;550;129;133;72;43;52;23;150;52;200;23;110
800;пнд-64224;5;635;131;132;71;53;46;25;200;49;194;24;110
801;пнд-65001;5;500;124;137;64;48;46;22;155;47;190;25;105
802;пнд-65003;3;480;128;137;67;33;49;22;162;49;185;24;110
803;пнд-95336;5;578;128;134;68;44;48;24;160;51;190;23;109
804;пнд-95532;5;600;123;125;66;38;45;22;158;47;175;24;119
805;пнд-95538;5;655;130;131;69;42;48;22;166;51;187;24;105
806;пнд-74124;3;480;124;137;70;48;56;29;155;48;195;23;116
807;пнд-62131;5;502;128;135;68;48;51;26;167;53;200;23;115
808;пнд-62102;5;580;126;132;71;47;45;24;160;50;200;25;110
809;пнд-00144;5;550;129;130;65;43;48;21;158;52;190;21;108
810;пнд-00360;5;521;130;135;68;45;48;22;157;52;198;20;125
811;пнд-00361;5;563;128;129;67;46;49;28;160;53;199;22;115
812;пнд-00362;5;550;124;129;69;45;48;21;150;53;179;20;111
813;пнд-00364;5;552;124;128;58;42;47;20;149;47;190;21;109
814;пнд-00552;5;540;132;132;74;43;48;25;160;50;202;21;118
815;пнд-00554;5;540;132;132;70;42;48;23;168;51;186;20;108
816;пнд-01304;5;549;132;135;67;45;52;25;157;47;200;21;119
817;пнд-01709;5;530;125;127;67;45;51;25;151;50;200;24;123
818;пнд-02109;5;540;127;127;70;49;51;24;162;51;200;24;110
819;пнд-02314;5;500;128;137;69;45;48;24;170;50;192;23;108
820;пнд-03124;5;530;125;126;68;42;47;22;162;50;194;24;110
821;пнд-03313;5;550;122;135;67;36;48;22;147;45;197;20;111
822;пнд-03318;5;550;130;128;70;45;47;22;156;51;198;20;120
823;пнд-03330;5;510;132;135;72;45;55;24;173;53;198;25;112
824;пнд-03513;5;560;124;127;66;59;48;22;164;47;177;21;120
825;пнд-03515;3;476;125;130;51;42;50;26;167;50;198;22;111
826;пнд-03518;5;570;130;135;52;50;54;23;165;45;200;21;108
827;пнд-03523;5;614;118;132;62;48;50;23;150;50;187;25;109
828;пнд-04338;3;470;118;123;67;42;48;22;170;45;190;23;111
829;пнд-04340;5;517;120;124;68;40;48;29;148;47;200;27;113
830;пнд-04341;3;490;123;126;69;42;50;22;150;48;198;28;114
831;пнд-04344;5;563;120;135;62;45;50;22;147;50;181;26;109
832;пнд-04532;5;550;130;137;68;40;47;21;159;48;176;20;110
833;пнд-04533;3;497;132;134;69;47;42;22;159;51;200;20;126
834;пнд-05346;5;518;130;132;70;46;49;22;168;53;189;21;108
835;пнд-05349;5;550;132;135;60;47;48;24;200;48;199;20;115
836;пнд-05537;5;550;132;132;67;39;50;21;200;47;200;21;118
837;пнд-05538;3;477;127;130;77;45;52;24;159;45;200;24;116
838;пнд-06134;5;500;125;127;70;45;52;23;160;52;200;24;110
839;пнд-06138;3;490;132;130;70;43;50;22;187;52;190;20;108
840;пнд-06140;5;600;127;132;70;43;52;25;170;53;200;24;110
841;пнд-06352;5;550;125;126;70;41;51;24;155;50;190;25;110
842;пнд-06542;3;470;126;127;55;50;48;21;161;48;187;21;118
843;пнд-07143;3;480;126;134;70;48;60;27;165;57;219;25;114
844;пнд-07355;5;503;131;132;70;45;57;25;160;55;200;24;111
845;пнд-07356;5;500;130;132;70;45;54;25;160;54;198;24;105
846;пнд-07358;5;510;125;126;68;47;50;24;155;48;192;25;110
847;пнд-07501;5;580;124;130;61;45;50;23;150;50;180;26;109
848;пнд-07546;5;550;124;129;70;45;49;25;150;50;199;29;111
849;пнд-08359;5;620;126;132;53;48;48;21;155;49;187;22;106
850;пнд-08549;3;482;125;128;53;47;48;25;165;50;188;20;105
851;пнд-08550;3;470;123;128;50;43;48;25;165;50;188;21;108
852;пнд-08551;3;470;131;132;72;45;47;25;158;50;202;20;118
853;пнд-10155;5;500;128;129;67;46;49;22;160;53;199;22;115
854;пнд-11104;3;490;129;130;68;47;50;23;163;54;200;21;108
855;пнд-11107;5;575;130;131;69;48;51;22;158;53;194;22;109
856;пнд-11111;5;548;131;133;70;49;52;23;159;53;195;21;108
857;пнд-11113;5;500;128;130;70;48;52;23;160;52;187;21;108
858;пнд-11116;5;510;129;129;72;47;48;24;161;54;188;22;111
859;пнд-11156;3;490;127;128;71;54;49;20;160;56;185;23;107
860;пнд-11157;3;480;128;129;68;47;50;21;159;57;184;20;104
861;пнд-11301;3;470;128;130;69;48;50;22;158;58;183;21;112
862;пнд-11303;5;500;129;131;70;48;52;23;173;59;186;22;110
863;пнд-11306;5;537;130;127;71;47;54;20;170;60;190;21;100
864;пнд-11308;3;450;131;129;72;54;51;20;168;58;191;22;107
865;пнд-11313;3;460;129;130;71;50;47;21;167;59;192;21;109
866;пнд-11314;3;483;128;131;70;51;48;23;164;57;193;24;110
867;пнд-11354;3;470;128;129;60;47;51;22;148;51;184;24;110
868;пнд-11501;5;561;129;130;61;46;50;21;149;50;184;22;107
869;пнд-11503;5;560;127;130;77;45;52;24;159;45;200;24;116
870;пнд-11504;5;520;129;130;64;47;53;24;169;42;190;24;108
871;пнд-11509;3;480;129;131;64;49;55;20;154;44;194;26;110
872;пнд-11555;5;570;131;133;60;51;54;23;156;50;185;25;107
873;пнд-11556;5;508;130;129;68;48;55;24;142;52;186;24;106
874;пнд-12117;5;618;131;132;69;49;56;21;150;53;185;24;108
875;пнд-12119;5;524;128;129;64;47;55;22;162;54;191;24;109
876;пнд-12120;5;552;129;130;65;48;56;23;163;55;190;25;108
877;пнд-12125;5;563;128;131;66;50;50;24;165;54;187;24;109
878;пнд-12126;5;560;128;128;54;47;51;24;170;35;190;24;107
879;пнд-12128;5;550;129;134;55;48;52;21;170;42;190;25;108
880;пнд-12129;3;480;131;132;56;49;53;22;171;43;191;25;109
881;пнд-12132;3;483;132;131;50;43;55;23;159;47;197;26;110
882;пнд-12134;5;500;131;131;60;45;54;24;168;48;184;27;111
883;пнд-12135;5;527;135;134;64;45;55;21;167;50;182;28;108
884;пнд-12160;3;490;130;131;75;68;42;48;180;56;188;22;110
885;пнд-12315;3;490;129;128;65;41;52;20;176;55;180;20;106
886;пнд-12512;5;517;128;129;64;40;51;21;176;56;181;22;107
887;пнд-12513;5;550;129;130;64;41;52;27;175;58;182;21;109
888;пнд-13137;5;510;129;130;62;42;53;27;180;59;184;22;108
889;пнд-13318;5;520;130;131;63;45;55;23;180;58;182;21;109
890;пнд-13319;3;485;128;131;62;41;52;22;179;54;181;22;109
891;пнд-13320;5;550;128;129;65;42;53;21;178;55;181;20;109
892;пнд-13322;5;550;127;129;60;42;54;22;180;59;183;22;110
893;пнд-13324;5;540;131;134;65;45;54;27;175;58;182;21;110
894;пнд-13518;5;527;130;132;62;42;55;27;179;59;187;21;109
895;пнд-13519;5;500;129;131;58;40;51;21;175;53;179;23;109
896;пнд-13520;5;510;131;132;60;45;55;23;178;54;183;25;109
897;пнд-13524;5;519;129;132;65;45;55;23;179;55;181;22;109
898;пнд-13525;5;520;130;131;70;42;52;27;179;58;182;21;108
899;пнд-13526;5;568;130;132;60;42;54;22;180;57;183;21;110
900;пнд-13529;5;500;129;129;60;40;51;28;180;59;183;21;110
901;пнд-14325;5;510;130;132;58;45;52;27;180;57;183;21;108
902;пнд-14327;5;520;130;131;67;42;55;21;178;56;185;20;107
903;пнд-14331;3;490;128;132;58;42;52;22;177;59;183;21;109
904;пнд-14332;5;520;129;130;59;43;53;21;179;55;187;20;108
905;пнд-14333;5;540;129;134;60;50;55;22;180;56;187;22;110
906;пнд-14531;5;520;129;130;59;40;52;20;175;55;187;21;108
907;пнд-15335;5;550;130;132;65;41;53;22;181;55;182;22;109
908;пнд-15337;5;550;128;129;54;42;52;21;180;57;181;20;110
909;пнд-15535;5;520;129;132;49;54;21;178;179;57;183;20;118
910;пнд-15536;5;538;129;130;68;51;62;25;171;59;196;23;118
911;пнд-16540;5;500;130;131;58;21;49;21;180;56;184;22;109
912;пнд-16543;5;680;129;130;52;40;55;21;174;54;178;20;112
913;пнд-18549;5;500;127;129;60;43;54;23;176;55;184;21;108
914;пнд-20576;3;498;129;131;71;48;59;24;168;57;190;21;112
915;пнд-21101;3;497;129;131;71;48;59;24;168;57;190;21;112
916;пнд-21102;5;673;130;131;66;47;60;24;169;60;150;21;110
917;пнд-21103;5;550;128;129;60;47;62;22;168;60;191;21;112
918;пнд-21104;5;530;129;131;62;50;60;21;171;51;192;21;110
919;пнд-21106;5;512;129;131;60;52;54;22;169;51;195;22;110
920;пнд-20174;5;530;130;131;66;50;61;24;170;58;195;22;112
921;пнд-21114;3;473;129;130;55;55;56;21;170;51;191;22;114
922;пнд-21115;5;550;128;129;56;57;56;21;172;50;190;20;108
923;пнд-21301;5;542;129;131;58;50;60;21;171;52;191;22;108
924;пнд-21302;5;537;128;131;66;47;61;25;168;59;192;21;110
925;пнд-21313;5;517;128;130;66;48;62;22;168;61;197;23;108
926;пнд-21316;5;517;129;131;65;54;59;21;170;60;191;21;109
927;пнд-21315;5;560;129;131;65;50;61;23;170;60;191;21;109
928;пнд-21501;5;580;128;130;66;50;58;22;170;62;193;22;112
929;пнд-21502;5;570;129;130;64;51;58;22;170;60;194;21;110
930;пнд-21503;5;507;132;133;62;50;56;22;174;61;187;23;110
931;пнд-21504;3;497;128;130;60;49;59;22;170;59;190;21;108
932;пнд-21505;5;550;129;130;58;50;59;21;171;60;191;22;110
933;пнд-21506;3;494;130;131;59;49;60;21;169;58;190;21;108
934;пнд-21507;3;481;127;129;60;50;57;22;169;53;189;21;110
935;пнд-21509;5;570;129;130;59;51;60;21;172;55;190;22;108
936;пнд-21510;5;500;129;130;60;50;59;21;182;57;197;21;110
937;пнд-21580;3;484;130;131;69;51;49;25;173;52;191;22;108
938;пнд-21581;5;500;129;130;68;50;62;23;170;60;192;22;112
939;пнд-21701;3;481;130;130;67;52;62;24;170;58;198;21;114
940;пнд-22118;5;600;129;130;68;48;60;23;170;58;191;22;110
941;пнд-22124;5;570;129;131;66;47;60;25;170;60;192;21;110
942;пнд-22125;5;560;128;131;66;50;62;24;170;60;190;24;110
943;пнд-22130;5;550;130;131;67;55;60;24;168;58;191;21;109
944;пнд-22132;5;540;133;133;69;68;48;24;162;62;161;20;110
945;пнд-22134;5;550;129;132;68;55;52;27;191;59;182;24;110
946;пнд-22181;5;540;129;131;68;42;65;20;180;54;189;22;108
947;пнд-22185;5;520;129;132;69;45;64;21;181;55;190;24;106
948;пнд-22197;3;493;131;133;63;44;60;22;180;53;179;25;110
949;пнд-22328;5;530;129;131;67;52;52;23;191;54;182;26;112
950;пнд-22367;5;550;130;131;64;42;58;21;182;54;180;24;108
951;пнд-22369;3;453;132;131;63;41;57;20;183;56;178;22;110
952;пнд-22372;3;495;129;130;63;40;58;23;187;58;180;23;109
953;пнд-22376;3;480;128;129;65;41;59;25;190;59;181;24;110
954;пнд-22381;3;463;129;130;64;47;57;23;188;57;183;24;109
955;пнд-22514;5;527;130;131;65;48;60;25;191;59;192;25;110
956;пнд-22517;5;540;130;131;66;49;60;26;192;55;199;28;108
